created_at,flight_number,aircraft_type,departure_airport,arrival_airport,flight_date,departure_time,arrival_time,classes,price
2025-07-12T15:30:04.297Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Economy Lite (Q),2638000
2025-07-12T15:30:11.130Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Economy Classic (L),2638000
2025-07-12T15:30:18.361Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Economy Classic (K),2638000
2025-07-12T15:30:25.476Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Economy Classic (H),2638000
2025-07-12T15:30:32.951Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Economy Classic (S),2638000
2025-07-12T15:30:39.907Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Economy Flex (M),2638000
2025-07-12T15:30:45.787Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Economy Flex (B),2638000
2025-07-12T15:30:52.406Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Premium Economy Classic (U),2638000
2025-07-12T15:30:59.287Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Premium Economy Classic (Z),2638000
2025-07-12T15:31:05.998Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Premium Economy Flex (W),2638000
2025-07-12T15:31:13.400Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Business Classic (I),2638000
2025-07-12T15:31:19.368Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Business Classic (D),2638000
2025-07-12T15:31:26.444Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Business Flex (C),2638000
2025-07-12T15:31:33.296Z,VN270,Airbus A321,SGN,HAN,2025-07-12T00:00:00.000Z,23:45,01:50,Business Flex (J),2638000
2025-07-12T15:36:56.760Z,QH202,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,05:25,07:35,EconomySmart (M),2178000
2025-07-12T15:37:03.767Z,QH204,Boeing 737 All Series Passenger,SGN,HAN,2025-07-13T00:00:00.000Z,07:10,09:20,EconomySmart (M),2178000
2025-07-12T15:37:09.754Z,QH284,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,21:30,23:40,EconomySmart (M),2178000
2025-07-12T15:37:16.606Z,VU750,AIRBUS A321,SGN,HAN,2025-07-13T00:00:00.000Z,05:45,07:55,ECONOMY (O),2178000
2025-07-12T15:37:22.634Z,VJ120,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,07:30,09:40,Eco (B1_ECO),2178000
2025-07-12T15:37:29.702Z,VJ1130,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,12:45,14:55,Eco (B1_ECO),2178000
2025-07-12T15:37:36.264Z,QH224,Airbus A320-100/200,SGN,HAN,2025-07-13T00:00:00.000Z,10:40,12:50,EconomySmart (L),2178000
2025-07-12T15:37:43.499Z,QH228,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,11:00,13:10,EconomySmart (L),2178000
2025-07-12T15:37:50.357Z,QH272,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,20:05,22:15,EconomySmart (L),2178000
2025-07-12T15:37:57.122Z,VJ1126,Airbus A321,SGN,HAN,2025-07-13T00:00:00.000Z,08:25,10:35,Eco (H1_ECO),2178000
2025-07-12T15:38:03.989Z,VJ1140,Airbus A330,SGN,HAN,2025-07-13T00:00:00.000Z,11:25,13:35,Eco (H1_ECO),2178000
