code,city,airport_name,country
SGN,Tp. Hồ Chí Minh,Sân bay Tân Sơn Nhất,Việt Nam
DAD,Đà Nẵng,Sân bay Đà Nẵng,Việt Nam
VDH,Đồng Hới,Sân bay Đồng Hới,Việt Nam
HPH,Hải Phòng,Sân bay Cát Bi,Việt Nam
VDO,Hạ Long,Sân bay Quốc tế Vân Đồn,Việt Nam
CXR,Nha Trang,Sân bay Cam Ranh,Việt Nam
TBB,Tuy Hòa,Sân bay Tuy Hòa,Việt Nam
HAN,Hà Nội,Sân bay Nội Bài,Việt Nam
BMV,Buôn Ma Thuột,Sân bay Buôn Ma Thuột,Việt Nam
UIH,Quy Nhon,Sân bay Quy Nhon,Việt Nam
PQC,Phú Quốc,Sân bay Phú Quốc,Việt Nam
VCA,Cần Thơ,Sân bay Cần Thơ,Việt Nam
DLI,Đà Lạt,Sân bay Liên Khương,Việt Nam
PLO,Pleiku,Sân bay Pleiku,Việt Nam
VKG,Rạch Giá,Sân bay Rạch Giá,Việt Nam
CAH,Cà Mau,Sân bay Cà Mau,Việt Nam 
